Date,Open,High,Low,Close,Volume
2021-04-26,30.37932734458269,30.67227218269616,30.357626500617283,30.639720916748047,47495696
2021-04-27,30.63971186759882,30.748209433214313,30.552915139539596,30.650562286376953,26350460
2021-04-28,30.65057081825477,30.65057081825477,30.422725204822655,30.466123580932617,11847132
2021-04-29,30.596318225830505,30.813313390552704,30.509521484375,30.509521484375,35394172
2021-05-03,30.466116708287778,30.466116708287778,29.96703052898291,29.99957847595215,26886696
2021-05-04,29.99958269356088,30.02128353531334,29.29434838069236,29.73918914794922,53149348
2021-05-05,29.739186648814552,29.793435437553327,29.446241865191833,29.45709228515625,35123544
2021-05-06,29.57644369996929,29.836837253785593,29.402846893730526,29.71748924255371,31910052
2021-05-07,29.977882462314337,30.259976855423375,29.934484089009175,30.249126434326172,27887364
2021-05-10,30.270827703359874,30.270827703359874,29.967035774856406,30.04298210144043,17145392
2021-05-11,29.45709401357912,29.467944434180193,28.773560559796866,28.91460609436035,101487268
2021-05-12,28.838655187768154,28.838655187768154,26.299812500152186,28.079172134399414,153849896
2021-05-13,27.395639513053144,28.209371379777494,27.124395557478362,27.66688346862793,108572604
2021-05-14,27.883880161349126,28.26362171996672,27.74283296561137,27.98152732849121,60858732
2021-05-17,27.167795741871707,27.948979710512187,27.059298152398508,27.44989013671875,126414496
2021-05-18,27.85132779815485,28.708457946777344,27.775378174027004,28.708457946777344,65091716
2021-05-19,28.686759402604153,28.78440656209073,28.317868293941892,28.51316261291504,67681988
2021-05-20,28.50231448231511,28.513161591026694,28.144270495585186,28.317867279052734,38038476
2021-05-21,28.751860619586356,29.044805429577846,28.491467072418143,28.71931266784668,40364120
2021-05-24,28.545713933131953,28.784406622255453,28.458913882564286,28.6759090423584,40898176
2021-05-25,28.83865370294059,29.21839521007305,28.83865370294059,29.164146423339844,36364972
2021-05-26,29.26179977678945,29.326895678428446,29.066502138621953,29.185850143432617,20554356
2021-05-27,28.96885348312273,29.012251852341453,28.71931037680257,28.979703903198242,22624404
